IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relevance
537.4,Thermodynamics: An Introductory Treatise Dealing Mainly With First Principles And Their Direct Applications,G. H. Bryan,Leipzig: B. G. Teubner,1907,,,Thermodynamics; Laws Of Thermodynamics; Classical Mechanics; Entropy,Ex-Libris,,Y
537.4,The Third Law Of Thermodynamics,J. Wilks,Oxford University Press,1961,,,Thermodynamics; Entropy; Laws Of Thermodynamics; Statistical Mechanics; Nuclear Physics,Ex-Libris,,Y
537.4,Introduction To Statistical Thermodynamics,Eldon L. Knuth,Mcgraw-Hill Publishing Co.,1966,,,Thermodynamics; Classical Thermodynamics; Statistical Thermodynamics; Quantum Mechanics; Crystallography; Radiation,Ex-Libris,,Y
537.4,The Physical Principles Of Thermodynamics,R. A. Smith,Chapman And Hall Ltd.,1952,,,Thermodynamics; Thermometers; Laws Of Thermodynamics; Specific Heats; Entropy; Mathematics; Radiation; Gas Laws; Phase Transitions; Nernst Theorem; Low Temperatures,Ex-Libris,,Y
537.4,"Engines, Energy and Entropy: A Thermodynamics Primer", John B. Fenn, W H Freeman & Co (Sd),1982,,,Thermodynamics; Laws Of Thermodynamics; Thermometers; Entropy; Classical Thermodynamics,,,Y
537.4,Introduction to Applied Thermodynamics and Energy Conversion, John R. Tyldesley, Longman,1978,,,Thermodynamics; Laws Of Thermodynamics; Material Properties; Material Physics; Economics; Nuclear Physics; Electricity,Ex-Libris,,Y
537.4,Thermal Physics,Philip M. Morse,W. A. Benjamin Inc.,1969,2,,Thermodynamics; Laws Of Thermodynamics; Entropy; Classical Thermodynamics; Equations Of State; Phase Transitions; Kinetic Theory; Statistical Mechanics; Crystallography; Quantum Statistics; Bose-Einstein Statistics; Fermi Dirac Statistics,Ex-Libris,,Y
537.4,Thermal Physics,Philip M. Morse,W. A. Benjamin Inc.,1962,1,,Thermodynamics; Laws Of Thermodynamics; Entropy; Classical Thermodynamics; Equations Of State; Phase Transitions; Kinetic Theory; Statistical Mechanics; Crystallography; Quantum Statistics; Bose-Einstein Statistics; Fermi Dirac Statistics,Ex-Libris,,Y
537.4,Statistical Mechanics,Joseph Edward Mayer; Maria Goeppert Mayer,John Wiley & Sons,1940,,,Thermodynamics; Gas Theory; Laws Of Thermodynamics; Gas Laws; Crystallography; Van Der Waals Equation,Ex-Libris,,Y
536.1,Lecture Notes On The Use Of The Microscope,R. Barer,Blackwell Scientific Publications,1956,2,,Optics; Biology; Laboratory Equipment,Ex-Libris,,Y
530.85,Christian Huygens And The Development Of Science In The Seventeenth Century,A. E. Bell,Edward Arnold Publishers Ltd.,1947,,,Biography; People Of Physics,Ex-Libris,,Y
538.1,Quantum Theory Of Magnetism,Robert M. White,Mcgraw-Hill Publishing Co.,1970,,,Magnetism; Hamiltonian; Scattering Theory,Ex-Libris,,Y
538.1,Ferromagnetic Domains,K. H. Stewart,Cambridge University Press,1954,,,Magnetism; Magnetocrystalline Anisotropy; Magnetostriction; Domain Arrangement; Domain Walls,Ex-Libris,,Y
538.1,Magnetostatic Principles In Ferromagnetism,William Fuller Brown Jr.,North-Holland Publishing Co.,1962,,,Magnetism; Magnetostatics; Ferromagnetisim; Magnetization; Domain Theory,Ex-Libris,,Y
538.1,The Magnetic Properties Of Matter,D. E. G. Williams,Longmans Green And Co.,1966,,,Magnetism; Paramagnetism; Diamagnetism; Gyromagnetism; Ferromagnetisim,Ex-Libris,,Y
538.1,Magnetism And Matter,Edmund C. Stoner,Meuthuen And Co.,1934,,,Magnetism; Quantum Mechanics; Zeeman Effect; Atomic Physics; Gyromagnetism; Diamagnetism; Paramagnetism; Ferromagnetisim,Ex-Libris,,Y
538.1,Magnetic Phenomena,Samuel Robinson Williams,Mcgraw-Hill Publishing Co.,1931,,,Magnetism; Magneto-Mechanics; Magneto-Acoustics; Magneto-Electrics; Magneto-Thermics; Magneto-Optics,Ex-Libris,,Y
537.4,The Concepts Of Classical Thermodynamics,H. A. Buchdahl,Cambridge University Press,1966,,,Thermodynamics; Laws Of Thermodynamics,Ex-Libris,,Y
538.1,The Physical Principles Of Magnetism,Allan H. Morrish,John Wiley & Sons,1965,,,Magnetism; Diamagnetism; Paramagnetism; Nuclear Physics; Ferromagnetisim,Ex-Libris,,Y
537.4,Lectures on Physics: Thermodynamics and the Kinetic Theory of Gases v. 3 (Pauli lectures on physics), Wolfgang Pauli, MIT Press,1973,,3,Thermodynamics; Laws Of Thermodynamics; Nernst Theorem; Kinetic Theory,,,Y
538.1,Effective Field Theories Of Magnetism,J. Samuel Smart,W. B. Saunders Co.,1966,,,Magnetism; Quantum Mechanics; Paramagnetism; Molecular Field Theory; Ferromagnetisim,Ex-Libris,,Y
538.1,Magnetism,David Shoenberg,Sigma Books Ltd,1949,,,Magnetism; Material Physics; Material P; Earths Magnetism,Ex-Libris,,Y
538.2,Principles And Practice Of Electrical Engineering,Alexander Gray; G. A. Wallace,Mcgraw-Hill Publishing Co.,1962,8,,Electricity; Magnetism; Electrical Components; Electrical ; Electrical Noise; Dc Motors; Electrical Interfacing; Ac Circuits; Dc Circuits; Transformer Circuits; Ac Motors; Valve Circuits; Semiconductor Electronics,L. Jacob,,Y
538.1,Geomagnetism,Sydney Chapman; Julius Bartels,Clarendon Press,1940,,1,Magnetism; Earths Magnetism; Solar Physics; Lunar Physics; Aurora Polaris,Ex-Libris,,Y
560,Data Analysis Techniques For High-Energy Physics ,R. Fruhwirth; M. Regler; R. K. Bock; H. Grote; D. Notz,Cambridge University Press,2000,2,,Particle Physics; Computational Physics; Computer Science; High Energy Physics,,,Y
560,"Dynamics of the Standard Model (Cambridge Monographs on Particle Physics, Nuclear Physics and Cosmology)", John F. Donoghue; Eugene Golowich; Barry R. Holstein, Cambridge University Press,1994,,,Particle Physics; Standard Model; Leptons; Baryons; Hadrons,,,Y
538.22,Early Quantum Electrodynamics: A Sourcebook,Arthur I. Miller,Cambridge University Press,1994,,,Electrodynamics; Quantum Mechanics; Quantum Electrodynamics; Nuclear Physics,,,Y
560,Spaceship Neutrino, Christine Sutton, Cambridge University Press,1992,,,Particle Physics; Neutrino; Neutrino Physics; Nuclear Physics; Neutrino Detection,,,Y
539.8,Quantum Field Theory: A Modern Introduction,Michio Kaku,Oxford University Press,1993,,,Quantum Mechanics; Quantum Field Theory; Group Theory; String Theory; Feynman Diagrams; Quantum Electrodynamics; Scattering Theory; Gauge Theory; Standard Model; Quantum Gravity,,,Y
515,Digital Signal Processing Applications With The Tms320 Family,Kun-Shan Lin,Prentice-Hall,1987,,1,Computing; Electronics; Instrumentation; Signal Processing; Control Systems; Datasheets,,This Book Contains Actual 5.25 Inch Floppy Disks!,Y
531.2,Fluid Mechanics,L. D. Landau; E. M. Lifshitz,Pergamon Press,1975,1,,Unknown; Fluid Mechanics; Classical Mechanics; Wave Mechanics; Thermodynamics,Ex-Libris,,Y
531.1,Manometric Techniques: A Manual Describing Methods Applicable To The Study Of Tissue Metabolism,W. W. Umbreit; R. H. Burris; J. F. Stauffer,Burgess Publishing Company,1964,4,,General Physics; Chemistry; Biology; Laboratory Equipment; Pressure Measurement,L. Jacob,,
536.5,Spectral Line Formation,John T. Jefferies,Blaisdell Publishing Co.,1968,,,Theory Of Spectra; Quantum Mechanics; Atomic Physics; Electromagnetic Radiation; Spectroscopy,,,Y
536,"States, Waves And Photons: A Modern Introduction To Light",Joseph W. Simmons; Mark J. Guttmann,Addison-Weslley Publishing Co.,1970,,,Light; Optics; Matrix Optics; Quantum Mechanics; Polarizer; Electromagnetic Radiation,,,Y
531.2,Mechanics of Fluids, William Jolly Duncan; Alexander Thom; A Young, Hodder Arnold,1970, 2nd,,Unknown; Fluid Mechanics; Classical Mechanics; Hydrostatics; Compressible Fluids; Oscillations; Wave Mechanics,Ex-Libris,,Y
531.2,Mechanics: From Newton's Laws to Deterministic Chaos, Florian Scheck, Springer-Verlag,1994, Enlarged 2nd,,Unknown; Classical Mechanics; Rigid Bodt Mechanics; Stability And Chaos; Canonical Mechanics,,,Y
531.2,Intermediate Mechanics,D. Humphrey,Longmans Green And Co.,1958,11,,Unknown; Classical Mechanics; Projectile Motion; Simple Harmonic Motion,Paul Allen,,Y
531.2,Mechanics And Hydrostatics,G. F. Peaker,University Tutorial Press,1936,1,,Unknown; Classical Mechanics; Fluid Mechanics,,,Y
534.1,An Introduction To The Kinetic Theory Of Gases,Sir James Jeans,Cambridge University Press,1967,,,Kinetic Theory; Classical Mechanics; Fluid Mechanics; Gas Laws,Ex-Libris,,Y
533,An Introduction To The Theory Of Statistics,G. Undy Yule; M. G. Kendall,Charles Griffin And Co.,1947,13,,Statistical Mechanics; Mathematics,N. A. Porter,,Y
533,Thermodynamics And Statistical Mechanics,Arnold Sommerfeld,Academic Press,1956,,,Statistical Mechanics; Thermodynamics; Gas Laws; Gas Theory; Van Der Waals Equation; Kinetic Theory; Mathematics; Quantum Mechanics,Ex-Libris,,Y
534,Vacuum Deposition Of Thin Films,L. Holland,Chapman And Hall Ltd.,1970,,,Vacuum Technique; Gas Theory; Material Physics; Optics,Ex-Libris,,Y
534,The Design And Construction Of Small Vacuum Systems,Geoffrey W. Green,Chapman And Hall Ltd.,1968,,,Vacuum Technique; Gas Theory; Vacuum Pumps; Material Physics,Ex-Libris,,Y
534,Scientific Foundations Of Vacuum Technique,Saul Dushman,John Wiley & Sons,1949,,,Vacuum Technique; Gas Theory; Kinetic Theory; Vacuum Pumps; Fluid Mechanics; Material Physics,,,Y
534.1,Kinetic Theory Of Gases,R. D. Present,Mcgraw-Hill Publishing Co.,1958,,,Kinetic Theory; Gas Laws; Gas Theory; Maxwell-Boltzmann Statistics; Equations Of State; Brownian Motion,Ex-Libris,,Y
534,Principles Of Vacuum Engineering,M. Pirano; J. Yarwood,Chapman And Hall Ltd.,1961,,,Vacuum Technique; Vacuum Pumps; Gas Theory; Kinetic Theory; Vacuum Coating,Ex-Libris,,Y
534,The Physical Principles Of Ultra-High Vacuum Systems And Equipment,Norman W. Robinson,Chapman And Hall Ltd.,1968,1,,Vacuum Technique; Gas Theory; Cryogenics; Mass Spectrometry,Ex-Libris,,Y
534,A Manual Of Vacuum Practice,L. H. Martin; R. D. Hill,Melbourne University Press,1947,,,Vacuum Technique; Gas Theory; Vacuum Pumps; Pressure Measurement,Ex-Libris,,Y
534,Vacuum Technique,Arnold L. Reimann,Chapman And Hall Ltd.,1952,1,,Vacuum Technique; Vacuum Pumps; Gas Theory; Pressure Measurement,Ex-Libris,,Y
533,Statistical Thermodynamics,R. H. Fowler; E. A. Guggenheim,Cambridge University Press,1939,,,Statistical Mechanics; Thermodynamics; Crystallography; Material Physics; Kinetic Theory,Ex-Libris,,Y
533,An Introduction To Stastical Mechanics,J. S. R. Chisholm; A. H. De Borde,Pergamon Press,1958,,,Statistical Mechanics; Gas Theory; Mathematics; Quantum Mechanics; Thermodynamics; Equations Of State; Nernst Theorem; Crystallography,Ex-Libris,,Y
533,Equilibrium Statistical Mechanics,Frank C. Andrews,John Wiley & Sons,1963,,,Statistical Mechanics; Gas Theory; Thermodynamics; Gas Laws; Entropy; Quantum Mechanics; Equations Of State; Fluid Mechanics,Ex-Libris,,Y
533,Introduction To Statistical Mechanics,Ronald W. Gurney,Mcgraw-Hill Publishing Co.,1949,1,,Statistical Mechanics; Gas Laws; Equations Of State; Thermodynamics; Classical Mechanics; Crystallography; Bose-Einstein Statistics,Ex-Libris,,Y
533,Fundamentals of Statistical and Thermal Physics (McGraw-Hill Series in Fundamentals of Physics), Frederick Reif, McGraw-Hill Science/Engineering/Math,1965, 1,,Statistical Mechanics; Gas Theory; Mathematics; Thermodynamics; Classical Mechanics; Quantum Mechanics; Brownian Motion,Simon J. Steel,,
533,The Smoke Problem Of Great Cities,Sir Napier Shaw; John Switzer Owens,Constable And Co.,1925,,,Statistical Mechanics; Gas Theory; Waste Product Managment; Climatology; Atmospheric Physics; Pollution,Ex-Libris,,Y
533,Statistical Thermodynamics: A Course Of Seminar Lectures,Erwin Schrodinger,Dublin Institute For Advanced Studies,1944,,,Statistical Mechanics; Thermodynamics; Lecture Notes; Radiation; Fluid Mechanics,,,Y
533,Statistical Mechanics. Second Edition, Joseph Edward Mayer; Maria Goeppert Mayer, John Wiley & Sons Inc,1977, 2nd,,Statistical Mechanics; Kinetic Theory; Thermodynamics; Gas Theory; Fluid Mechanics; Crystallography; Bose-Einstein Statistics; Fermi Dirac Statistics; Matrix Mechanics,,,Y
533,The Principles Of Stastical Mechanics,Richard C. Tolman,Oxford University Press,1967,,,Statistical Mechanics; Classical Mechanics; Maxwell-Boltzmann Statistics; Quantum Statistics; Quantum Mechanics; Fermi Dirac Statistics; Bose-Einstein Statistics,Ex-Libris,,Y
533,Elements Of Thermodynamics And Statistical Mechanics,E. O. Hercus,Melbourne University Press,1950,,,Statistical Mechanics; Thermodynamics; Laws Of Thermodynamics; Entropy; Fluid Mechanics; Bose-Einstein Statistics; Maxwell Boltzmann Statistics; Fermi Dirac Statistics,Ex-Libris,,Y
533,Introduction To Physical Statistics,Robert Bruce Lindsay,John Wiley & Sons,1948,,,Statistical Mechanics; Thermodynamics; Classical Mechanics; Maxwell Boltzmann Statistics; Kinetic Theory; Quantum Statistics; Equations Of State,Ex-Libris,,Y
533,Statistical Physics (Manchester Physics Series), Franz Mandl, John Wiley & Sons Ltd,1971,,,Statistical Mechanics; Thermodynamics; Laws Of Thermodynamics; Entropy; Material Physics; Radiation; Mathematics,,,Y
533,Statistical Mechanics And Dynamics,Henry Eyring; Douglas Henderson; Betsy Jones Stover; Edward M. Eyring,John Wiley & Sons,1964,,,Statistical Mechanics; Classical Mechanics; Thermodynamics; Quantum Statistics; Crystallography; Radiation; Magnetism; Gas Theory; Fluid Mechanics; Chemistry,Ex-Libris,,Y
539.55,Muon Physics: Electromagnetic Interations,Vernon W. Hughes; C. S. Wu,Academic Press,1977,,,High Energy Physics; Particle Physics; Quantum Mechanics; Quantum Electrodynamics; Cosmic Ray Physics,,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,1-A,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,1-B,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,2-A,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,2-B,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,3-A,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,3-B,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,4-B,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,5,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,6,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Physical Acoustics: Principles And Methods,Warren P. Mason,Academic Press,1964,,8,Sound; Wave Mechanics; Fluid Mechanics; Piezoelectric Devices; Ultrasonic Physics,Ex-Libris,,Y
535,Vibration And Sound,Philip M. Morse,Mcgraw-Hill Publishing Co.,1948,1,,Sound; Wave Mechanics; Oscillations; Simple Harmonic Motion; Perturbation Theory; Classical Mechanics; Radiation,Ex-Libris,,Y
535,Vibration And Sound,Philip M. Morse,Mcgraw-Hill Publishing Co.,1948,2,,Sound; Wave Mechanics; Oscillations; Simple Harmonic Motion; Perturbation Theory; Classical Mechanics; Radiation,Ex-Libris,,Y
535,Pricnciples Of Optics,Max Born; Emil Wolf,Pergamon Press,1959,,,Sound; Optics; Electromagnetic Radiation; Wave Mechanics; Interferometers; Crystallography,Ex-Libris,Poor Condition And Ml:536.1,Y
534.2,Collision Processes In Gases,F. L. Arnot,Meuthuen And Co.,1933,,,Gases; Classical Mechanics; Wave Mechanics; Scattering Theory,Ex-Libris,,Y
534.2,The Experimental Study Of Gases,Morris W. Travers,Macmillan And Co.,1901,,,Gases; Gas Theory; Pressure Measurement; Atmospheric Physics; Gas Laws; Liquefied Gases,Ex-Libris,,Y
534.2,The Discharge Of Electricity Through Gases,J. J. Thomson,Westminster Archibald Constable And Co.,1898,,,Gases; Electricity; Valve Circuits; Cathode Ray Tubes,Ex-Libris,,Y
534.2,Physics Of Fully Ionized Gases,Lyman Spitzer Jr.,Interscience Publishers,1956,,,Gases; Particle Physics; Wave Mechanics; Electricity; Electromagnetic Radiation,Ex-Libris,,Y
534.2,Electriity In Gases,J. S. Townsend,Oxford University Press,1915,,,Gases; Electricity; Valve Circuits; Cathode Ray Tubes; Gas Theory; Atomic Physics,Ex-Libris,,Y
,High Vacuum Technique,J. Yarwood,Chapman And Hall Ltd.,1945,2,,Vacuum Techniques; Pressure Measurement; Vacuum Pumps,L. Jacob,,Y
534.2,Flow Of Rarefied Gsaes,Samuel A. Schaaf; Paul L. Chambre,Princeton University Press,1961,,,Gases; Gas Theory; Mathematics,Ex-Libris,,Y
534.2,Fundamental Physics Of Gases,K. F. Herzfeld; Virgina Griffing; J. O. Hirschfelder; C. F. Curtiss; R. B. Bird; Ellen L. Spotz,Princeton University Press,1961,,,Gases; Quantum Mechanics; Gas Theory; Chemistry; Statistical Mechanics; Kinetic Theory,L. Jacob,,Y
534.2,Liquid Helium,K. R. Atkins,Cambridge University Press,1959,,,Gases; Liquid Helium; Liquefied Gases; Thermodynamics,,Ml:537.1,Y
534.2,"Gases, Liquid And Solids",D. Tabor,Penguin Book Ltd.,1969,,,Gases; Thermodynamics; Gas Theory; Material Physics; Fluid Mechanics; Magnetism,,,Y
534.2,The Mobility And Diffusion Of Ions In Gases,Earl W. Mcdaniel; Edward A. Mason,John Wiley & Sons,1973,,,Gases; Gas Theory; Kinetic Theory,Ex-Libris,,Y
535,Physical Ultrasonics,Robert T. Beyer; Stephen V. Letcher,Academic Press,1969,,,Sound; Ultrasonic Physics; Radiation; Fluid Mechanics; Crystallography; Particle ; Particle Physics,Ex-Libris,,Y
535,Acoustics,Alexander Wood,Blackie And Sons Ltd.,1947,1,,Sound; Wave Mechanics; Oscillations; Simple Harmonic Motion; Acoustic Analysis; Mechanical Engineering,N. A. Porter,,Y
534.2,Conduction Of Electricity Through Gases,J. J. Thomson; G. P. Thomson,Cambridge University Press,1928,3,1,Gases; Valve Circuits; Magnetism; Chemistry,Ex-Libris,,Y
534.2,Electrical Phenomena In Gases,Karl Kelchner Darrow,The Williams And Wilkins,1932,,,Gases; Radiation; Chemistry; Atomic Physics,Ex-Libris,,Y
535,Ultrasonics: Theory and Application (Science & Technology), G.L. Gooberman, Hodder & Stoughton Ltd,1969,,,Sound; Wave Mechanics; Acoustic Analysis; Doppler Effect; Radiation; Shear Waves,Ex-Libris,,Y
535,Ultrasonic Physics,E. G. Richardson,Elsevier Publishing Co.,1962,2,,Sound; Ultrasonic Physics; Radiation; Acoustic Analysis; Gas Theory; Fluid Mechanics; Material Physics,Ex-Libris,,Y
