IDnumb,Title,Author(s)/Editor(s),Publisher,Year,volume,Edition,Subjects,donor,Comment,Relvance
539.4,Advances In Radiochemistry,Engelbert Broda,Cambridge University Press,1950,,,Unknown; Nuclear Physics; Chemistry; Atomic Physics,Ex-Libris,,Y 
539.35,Foundations Of Wireless,M. G. Scroogie,Iliffe And Sons Ltd. ,1943,4,,Unknown; Electromagnetic Radiation; Electronics; Electromagnetism,Ex-Libris,,Y 
539.35,Theory And Design Of Valve Oscillators,H. A. Thomas,Chapman And Hall Ltd.,1951,2,,Unknown; Electromagnetic Radiation; Electronics; Oscillations,Ex-Libris,,Y 
539.35,Microwave Transmission,J. C. Slater,Mcgraw-Hill Publishing Co.,1942,1,,Unknown; Electromagnetic Radiation; Electronics; Maxwells Equations,Ex-Libris,,Y 
539.35,Thermionic Vacuum Tubes And Their Applications,W. H. Aldous; Sir Edward Appleton,Meuthuen And Co.,1952,6,,Unknown; Electronics; Electron Tubes,Ex-Libris,,Y 
539.35,Advances In Radio Reasearch ,J. A. Saxton,Academic Press,1964,,2,Unknown; Astrophysics; Astronomy; Electromagnetic Radiation; Radio Astronomy,Ex-Libris,,Y 
539.35,Progress In Radio Science 1960-1963,Multiple Authors,Elsevier Publishing Co.,1965,,1,Unknown; Electromagnetic Radiation; Radio Astronomy; Astronomy; Astrophysics; Research Papers,,,Y 
539.45,Measurement Of Radio Isotopes,Denis Taylor,Meuthuen And Co.,1959,2,,Unknown; Radiation; Nuclear Physics,Ex-Libris,, 
539.45,Safety Techniques For Radioactive Tracers,J. C. Boursnell,Cambridge University Press,1958,,,Unknown; Nuclear Physics; Laboratory Safety,Ex-Libris,,Y 
539.45,Isotopes: An Eight Year Summary Of Distribution And Utilization,United States Atomic Energy Commission,United States Atomic Energy Commission,1955,,,Unknown; Nuclear Physics; Medical Physics; Chemistry; Radiation,Ex-Libris,,Y 
539.4,Nuclear And Radiochemistry,Gerhart Friedlander; Joseph W. Kennedy,John Wiley & Sons,1949,,,Unknown; Nuclear Physics; Chemistry; Radiation; Atomic Physics,Ex-Libris,,Y 
539.35,Elements Of Pulse Circuits,F. J. M. Farley,Meuthuen And Co.,1964,2,,Unknown; Electronics; Valve Circuits,Ex-Libris,,Y 
539.35,Microwaves And Wave Guides,M. H. Barlow,Constable And Co.,1947,1,,Unknown; Electronics,Ex-Libris,,Y 
539.35,Wave Propagation In Periodic Structures,Leon Brillouin,Mcgraw-Hill Publishing Co.,1946,,,Unknown; Electromagnetic Radiation; Electronics; Crystallography; Wave Mechanics,Ex-Libris,,Y 
539.35,Time Bases,O. S. Punkle; E. B. Moullin,Chapman And Hall Ltd.,1951,2,,Unknown; Electronics; Oscillations,Ex-Libris,,Y 
539.45,Radioactivity And Radioactive Sources,J. Chadwick; Sir Ernest Rutherford,Sir Isaac Pitman And Sons Ltd.,1923,,,Unknown; Radiation; Nuclear Physics,Ex-Libris,,Y 
539.35,Microwave Measurements,H. M. Barlow; A. L. Cullen ,Constable And Co.,1950,1,,Unknown; Wave Mechanics; Electronics; Electromagnetic Radiation,Ex-Libris,,Y 
539.3,Mullard Reference Manual Of Transistor Circuits,Multiple Authors,Mullard Ltd.,1961,,,Unknown; Electronics,Ex-Libris,,Y 
539.3,Physical Electronics,Curtis L. Hemenway; Richard W. Henry; Martin Caulton,John Wiley & Sons,1967,2,,Unknown; Electronics; Valve Circuits; Statistics,Ex-Libris,,Y 
539.35,Radio And Radar Technique,A. T. Starr,Sir Isaac Pitman And Sons Ltd.,1953,1,,Unknown; Electronics; Electromagnetic Radiation,Ex-Libris,,Y 
539.3,Electronic Instruments,Ivan A. Greenwood Jr.; J. Vance Holdam Jr.; Duncan Macrae Jr.,Mcgraw-Hill Publishing Co.,1948,1,,Unknown; Electronics; Mathematics; Computational Mathematics; Oscilloscope Technique,Ex-Libris,,Y 
539.3,Linear Feedback Analysis,J. G. Thomason,Pergamon Press,1956,1,,Unknown; Electronics; Amplifier Circuits,Ex-Libris,,Y 
539.3,Electronics,P Parker,Edward Arnold Publishers Ltd.,1960,1,,Unknown; Electronics; Valve Circuits,Ex-Libris,,Y 
539.3,Physical Electronics,Curtis L. Hemenway; Richard W. Henry; Martin Caulton,John Wiley & Sons,1962,,,Unknown; Electronics; Valve Circuits; Statistics,Ex-Libris,,Y 
539.3,Advances In Electronics,L. Marton; Et Al.,Academic Press,1952,,4,Unknown; Electronics; Electromagnetic Radiation; Valve Circuits,Ex-Libris,,Y 
539.3,Noise In Electrical Circuits,F. N. H. Robinson,Oxford University Press,1962,,,Unknown; Electronics; Electrical Noise,Ex-Libris,,Y 
539.3,Physical Electronics And Circuit Models Of Transistors,Paul E. Gray; David Dewitt; A. R. Boothroyd; James F. Gibbons,John Wiley & Sons,1964,,2,Unknown; Electronics; Semiconductor Electronics,Ex-Libris,,Y 
539.3,Signal Noise And Resolution In Nuclear Counter Amplifiers,A. B. Gillespie,Pergamon Press,1953,,,Unknown; Electronics; Valve Circuits; Electrical Noise,Ex-Libris,,Y 
539.3,Oscilloscope Measuring Technique,J. Czech,Philips Technical Library,1965,,,Unknown; Electronics; Valve Circuits; Oscilloscope Technique,Ex-Libris,,Y 
539.3,Electrons And Holes In Semiconductors,William Shockley,D. Van Nostrand Co.,1951,1,,Unknown; Electronics; Semiconductor Electronics; Quantum Mechanics,Ex-Libris,,Y 
539.35,Radio Engineering Handbook,Keith Henney,Mcgraw-Hill Publishing Co.,1950,4,,Unknown; Electronics; Electromagnetic Radiation; Wave Mechanics; Valve Circuits,Ex-Libris,,Y 
539.35,Advances In Radio Research,J. A. Saxton,Academic Press,1964,,1,Unknown; Electronics; Electromagnetic Radiation; Atmospherics; Wave Mechanics,Ex-Libris,,Y 
539.35,Measurement At The Centimeter Wavelength,D. Van Nostrad Co.,D. Van Nostrand Co.,1952,,,Unknown; Electronics; Electromagnetic Radiation; Valve Circuits,Ex-Libris,,Y 
539.35,Radio Designers Handbook,F. Langford-Smith,Iliffe And Sons Ltd. ,1953,4,,Unknown; Electronics; Electromagnetic Radiation; Valve Circuits,Ex-Libris,,Y 
539.3,Theory Of Gaseous Conduction And Electronics,Frederick A. Maxfield; R. Ralph Benedict,Mcgraw-Hill Publishing Co.,1941,1,,Unknown; Electronics; Valve Circuits; Chemistry,Ex-Libris,,Y 
539.3,Magnetic Amplifiers,George M. Ettinger,Meuthuen And Co.,1957,,,Unknown; Electronics; Electromagnetism,Ex-Libris,,Y
539.3,Millimicrosecond Pulse Techniques,I. A. D. Lewis; F. H. Wells,Pergamon Press,1954,,,Unknown; Electronics; Amplifier Circuits; Transformer Circuits; Oscilloscope Technique; Nuclear Physics,Ex-Libris,,Y
538.3,"Small Plasma Physics Experiments: Proceedings of Symposium on Small Scale Laboratory Plasma Experiments, Spring College on Plasma Physics 25 May-19 (v. 1)", S. Lee, World Scientific Pub Co Inc,1989,,,Plasma Physics And Magnetohydrodynamics; Plasma Physics; Electronics,Ex-Libris,,Y
539.35,Radio Communitcation At Ultra High Frequency,John Thomson,Meuthuen And Co.,1950,,,Unknown; Electronics; Electromagnetic Radiation; Valve Circuits; Amplifier Circuits,Ex-Libris,,Y
539.35,The Physical Priciples Of Wave Guide Transmission And Antenna Systems,W. H. Watson,Oxford University Press,1947,1,,Unknown; Electromagnetic Radiation; Electronics; Wave Mechanics,Ex-Libris,,Y
539.3,Elementary Circuit Properties Of Transistors,Campbell L. Searle; A. R. Boothroyd; E. J. Angelo Jr. ; Paul E. Gray ; Donald O. Pederson,John Wiley & Sons,1964,,3,Unknown; Electronics; Semiconductor Electronics; Amplifier Circuits,Ex-Libris,,M
539.3,Electronics,P. Parker,Edward Arnold Publishers Ltd.,1958,1,,Unknown; Electronics; Valve Circuits; Electrical Noise,Ex-Libris,,Y
539.3,Transistors: Theory And Application,Abraham Coblenz; Harry L. Owens,Mcgraw-Hill Publishing Co.,1955,1,,Unknown; Electronics; Quantum Mechanics; Transistor Theory; Semiconductor Electronics,Ex-Libris,,Y
539.3,Electronics In Gases,Sir John Townsend ,Hutchinsons And Co.,1947,,,Unknown; Electronics; Valve Circuits; Chemistry,Ex-Libris,,Y
539.3,Introduction To Quantum Electronics,H. G. Unger,Pergamon Press,1970,,,Unknown; Electronics; Quantum Mechanics; Laser Physics; Maser Physics,Ex-Libris,,Y
539.3,The Application Of Linear Microcircuits,The Applications Engineering Staff Of The Sgs Group,Sgs-Uk Ltd.,1969,,1,Unknown; Electronics; Logic Curcuits; Amplifier Circuits; Electrical Noise,Ex-Libris,,Y
539.3,The Application Of Linear Microcircuits,The Applications Engineering Staff Of The Sgs Group,Sgs-Uk Ltd.,1969,,2,Unknown; Electronics; Logic Curcuits; Amplifier Circuits; Electrical Noise,Ex-Libris,,Y
539.3,The Principles Of Electronics,M. R. Gavin; J. E. Houldin,The English Universities Press Ltd.,1959,,,Unknown; Electronics; Amplifier Circuits; Valve Circuits; Transistor Circuits; Oscillations; Electrical Noise,Ex-Libris,,Y
539.3,Electron Optics,O. Klemperer,Cambridge University Press,1953,2,,Unknown; Electronics; Optics; Valve Circuits,Ex-Libris,,Y
539.3,Principles of Electronic Instrumentation, A.De Sa, Hodder,1981,,,Unknown; Electronics; Semiconductor Electronics; Logic Curcuits; Electrical Noise; Digital Analogue Conversion,Ex-Libris,,Y
539.1,The Atomic Nucleus, John McArthur Reid, Manchester Univ Pr,1984,,,Reactor Physics And Radiation Hazards; Nuclear Physics; Atomic Physics,Ex-Libris,,Y
539.3,Electronics Laboratory Manual,Ralph R. Wright,Mcgraw-Hill Publishing Co.,1945,1,,Unknown; Electronics; Valve Circuits; Amplifier Circuits,Ex-Libris,,Y
539.3,Electron Physics: The Physics Of The Free Electron,O. Klemperer,Butterworths Scientific Publications,1959,,,Unknown; Electronics; Valve Circuits; Cathode Ray Tubes; Quantum Mechanics; Relativity,Ex-Libris,,Y
539.3,Electronics For The Physicist,Cyril Delaney,Penguin Book Ltd.,1969,,,Unknown; Electronics; Semiconductor Electronics; Amplifier Circuits; Transistor Circuits; Electrical Noise,Ex-Libris,,Y
539.3,Transistor Physics,K. G. Nichols; E. V. Vernon,Chapman And Hall Ltd.,1966,,,Unknown; Atomic Physics; Electronics; Transistor Circuits; Quantum Mechanics; Semiconductor Electronics,,,Y
539.3,An Introduction To Electronics,D. R. J. Wood,J. M. Dent And Sons Ltd.,1955,1,,Unknown; Electronics; Electromagnetic Radiation; Valve Circuits; Cathode Ray Tubes; Oscilloscope Technique,Ex-Libris,,Y
539.3,Components Handbook,John F. Blackburn,Mcgraw-Hill Publishing Co.,1949,1,,Unknown; Electronics; Piezoelectric Devices; Valve Circuits; Electrical Components,Ex-Libris,,Y
539.1,The Effects Of Atomic Weapons,J. O. Hirschfelder; Et Al.,Mcgraw-Hill Publishing Co.,1950,,,Reactor Physics And Radiation Hazards; Nuclear Physics; Atomic Physics; Nuclear Safety; Radiation,Ex-Libris,,Y
539.3,Theory And Applications Of Microwaves,Arthur B. Bronwell; Robert E. Beam,Mcgraw-Hill Publishing Co.,1947,1,,Unknown; Electromagnetic Radiation; Electronics; Valve Circuits; Amplifier Circuits; Oscillator Circuits; Maxwells Equations; Electromagnetism,Ex-Libris,,Y
539.3,Optical Electronics, Amnon Yariv, Holt-Saunders (Japan),1985, International 2 Revised ed,,Unknown; Electronics; Optics; Electromagnetism; Electromagnetic Radiation; Laser Physics; Electrical Noise,Ex-Libris,,Y
539.3,"Epitaxial Electronic Materials: Proceedings If the International School on Technology, Characterization and Properties of Epitaxial Electronic Mater", A. Baldereschi, World Scientific Pub Co Inc,1989,,,Unknown; Research Papers; Electronics; Semiconductor Electronics,Ex-Libris,,Y
539.3,Electronics For Nuclear Particle Analysis (Harwell Post-Graduate),L. J. Herbst,Oxford University Press,1970,,,Unknown; Nuclear Physics; Electronics; Radiation; Electromagnetic Radiation; Radation Detectors; Logic Curcuits,Ex-Libris,,Y
539.3,Electrical Noise,D. A. Bell,D. Van Nostrand Co.,1960,,,Unknown; Electronics; Electrical Noise; Statistics; Radiation Detectors,Ex-Libris,,Y
539.3,Physics of Semiconductor Devices (Oxford Physics), D.A. Fraser, Oxford University Press,1977,,,Unknown; Electronics; Semiconductor Electronics; Transistor Circuits,Ex-Libris,,Y
539.3,Digital Electronics and Laboratory Computer Experiments, Charles Wilkins, Springer,1975,1,,Unknown; Electronics; Digital Logic; Electrical Interfacing; Laboratory Electronics,Ex-Libris,,Y
539.3,An Introduction To Trasistor Circuits,E. H. Cooke-Yarborough,Oliver And Boyd,1960,2,,Unknown; Electronics; Transistor Circuits; Amplifier Circuits,Ex-Libris,,Y
539.3,Electronics,Jacob Millman ; Samual Seely,Mcgraw-Hill Publishing Co.,1941,1,,Unknown; Electronics; Valve Circuits; Chemistry,Ex-Libris,,Y
539.3,Electro-Optical Photography At Low Illumination Levels,Harold V. Soule,John Wiley & Sons,1968,,,Unknown; Electronics; Astronomy; Optics; Imaging,Ex-Libris,,Y
539.3,Wave Guides,H. R. L. Lamont,Meuthuen And Co.,1959,3,,Unknown; Electronics; Wave Mechanics,Ex-Libris,,Y
539.3,Modern Electronics,Hendrick De Waard ; David Lazarus,Addison-Weslley Publishing Co.,1966,,,Unknown; Electronics; Valve Circuits; Semiconductor Electronics; Amplifier Circuits; Oscillator Circuits ; Electrical Noise,Ex-Libris,,Y
539.3,An Introduction To Electronics,Dennis F. Shaw,Longmans Green And Co.,1963,1,,Unknown; Electronics; Oscillator Circuits ; Transformer Circuits; Semiconductor Electronics; Cathode Ray Tubes; Oscilloscope Technique,Ex-Libris,,Y
539.55,Gamma-ray Astronomy (Cambridge Astrophysics), P. V. Ramana Murthy; A. W. Wolfendale, Cambridge University Press,1993,2,,High Energy Physics; Astronomy; Gamma-Ray Bursts; High Energy Astronomy; Medium Energy Astronomy,Ex-Libris,,Y
539.55,Proceedings Of An International Conference On Instrumentation For High Energy Physics,Multiple Authors,Interscience Publishers,1960,,,High Energy Physics; Gamma-Ray Bursts; Gamma-Ray Detection; Astrophysics; Astronomy,Ex-Libris,,Y
539.55,14Th International Conference On High-Energy Physics,J. Prentki; J. Stienberger; Et Al.,Cern Scientific Information Service,1968,,,High Energy Physics; Research Papers; Quantum Mechanics; Particle Physics,Ex-Libris,,Y
539.55,High Energy Particles,Bruno Rossi,Constable And Co.,1952,,,High Energy Physics; Electromagnetic Radiation; Particle Physics; Cosmic Ray Physics; Nuclear Physics,Ex-Libris,,Y
539.55,Particle Accelerators,M. Stanley Livingston; John P. Blewett,Mcgraw-Hill Publishing Co.,1962,,,High Energy Physics; Particle Physics; Electronics; Particle Accelerator Physics,Ex-Libris,,Y
539.55,Strange Particles,Robert Kemp Adair; Earle Cabell Fowler,Interscience Publishers,1963,,,High Energy Physics; Particle Physics; Quantum Mechanics,Ex-Libris,,Y
539.55,Nuclear Research Emulsions,Walter H. Barkas,Academic Press,1963,,,High Energy Physics; Nuclear Physics; Particle Physics,Ex-Libris,,Y
539.55,Elementary Particles,William R. Frazer,Prentice-Hall ,1966,,,High Energy Physics; Particle Physics; Relativity; Quantum Mechanics,Ex-Libris,,Y
539.55,Particles And Accelerators,Robert Gouiran,World University Library,1967,,,High Energy Physics; Particle Physics; Quantum Mechanics; Particle Accelerator Physics,Ex-Libris,,N
539.55,Muon Physics: Electromagnetic Interactions,Vernon W. Hughes; C. S. Wu,Academic Press,1977,,1,High Energy Physics; Particle Physics; Electromagnetism; Atomic Physics; Cosmic Ray Physics,Ex-Libris,,Y
